Title,Author,Avg rating,Number of Ratings,Year Published,Score
Areté: Activate Your Heroic Potential,Brian             Johnson,4.87,1043,,14.7182843
Educated,Tara Westover,4.47,1477552,2018,13.8695428
"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,4.56,181364,2019,13.8585511
The Choice: Embrace the Possible,Edith Eger,4.58,95132,2017,13.7783266
Becoming,Michelle Obama,4.46,1024417,2018,13.6104768
"The Power of Vulnerability: Teachings of Authenticity, Connections and Courage",Brené Brown,4.6,26004,2013,13.4150402
Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,4.47,288388,2016,13.1599772
Being Mortal: Medicine and What Matters in the End,Atul Gawande,4.48,186432,2014,13.0705205
So You Want to Talk About Race,Ijeoma Oluo,4.5,103864,2018,13.016465
The Ruthless Elimination of Hurry: How to Stay Emotionally Healthy and Spiritually Alive in the Chaos of the Modern World,John Mark Comer,4.53,51434,2019,13.0112503
When Breath Becomes Air,Paul Kalanithi,4.4,649542,2016,12.8126072
What My Bones Know: A Memoir of Healing from Complex Trauma,Stephanie Foo,4.52,37632,2022,12.7755573
Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.37,997221,2011,12.6987914
We Should All Be Feminists,Chimamanda Ngozi Adichie,4.41,287073,2012,12.5579923
Complex PTSD: From Surviving to Thriving,Pete Walker,4.56,8878,2013,12.5483151
Man’s Search for Meaning,Viktor E. Frankl,4.37,689430,1959,12.5384902
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.36,806674,2018,12.5066981
The Gifts of Imperfect Parenting,Brené Brown,4.57,5424,2013,12.4343197
The Meaning of Marriage: Facing the Complexities of Commitment with the Wisdom of God,Timothy J. Keller,4.48,37930,2011,12.3789828
"What Happened To You?: Conversations on Trauma, Resilience, and Healing",Bruce D. Perry,4.45,74343,2021,12.3712401
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk,4.41,169890,2014,12.3301678
"This Is Water: Some Thoughts, Delivered on a Significant Occasion, about Living a Compassionate Life",David Foster Wallace,4.48,32157,2009,12.3072755
Maybe You Should Talk to Someone,Lori Gottlieb,4.38,310479,2019,12.2920322
In the Realm of Hungry Ghosts: Close Encounters with Addiction,Gabor Maté,4.5,17053,2007,12.2318008
The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,4.46,42504,2020,12.2284298
Mere Christianity,C.S. Lewis,4.35,403779,1942,12.1061437
The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,4.42,79835,2019,12.1021933
Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,4.38,179891,2017,12.0550094
How Not to Die: Discover the Foods Scientifically Proven to Prevent and Reverse Disease,Michael Greger,4.44,41680,2015,12.0199277
"Everybody, Always: Becoming Love in a World Full of Setbacks and Difficult People",Bob Goff,4.44,41300,2018,12.0159501
Never Finished: Unshackle Your Mind and Win the War Within,David Goggins,4.45,24562,2022,11.8902637
Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think,Hans Rosling,4.36,180239,2018,11.8558488
How to Be an Antiracist,Ibram X. Kendi,4.38,113341,2019,11.854387
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.35,217700,2018,11.8378584
Never Split the Difference: Negotiating as if Your Life Depended on It,Chris Voss,4.36,151397,2016,11.7801173
On Writing: A Memoir of the Craft,Stephen King,4.33,283767,2000,11.7529619
"The Simple Path to Wealth: Your road map to financial independence and a rich, free life",J.L. Collins,4.44,22229,2016,11.7469199
The Psychology of Money,Morgan Housel,4.35,157847,2020,11.6982363
"Adult Children of Emotionally Immature Parents: How to Heal from Distant, Rejecting, or Self-Involved Parents",Lindsay C. Gibson,4.4,46628,2015,11.6686468
Invisible Women: Data Bias in a World Designed for Men,Caroline Criado Pérez,4.36,110407,2019,11.6429966
Outlive: The Science and Art of Longevity,Peter Attia,4.41,33037,2023,11.6190006
The Gift: 12 Lessons to Save Your Life,Edith Eger,4.44,14683,2020,11.5668148
The Book of Joy: Lasting Happiness in a Changing World,Dalai Lama XIV,4.38,56019,2016,11.5483354
Unreasonable Hospitality: The Remarkable Power of Giving People More Than They Expect,Will Guidara,4.47,6521,,11.5143142
Rising Strong as a Spiritual Practice,Brené Brown,4.47,5979,2017,11.4766286
Behave: The Biology of Humans at Our Best and Worst,Robert M. Sapolsky,4.41,22228,2017,11.4469004
"Men, Women, and Worthiness: The Experience of Shame and the Power of Being Enough",Brené Brown,4.49,3197,2012,11.4047426
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.27,421417,1990,11.3247121
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,4.3,210649,2009,11.3235594
The Obesity Code: Unlocking the Secrets of Weight Loss,Jason Fung,4.38,32297,2016,11.3091622
Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger,Charles T. Munger,4.43,9931,2005,11.296993
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.29,210288,2012,11.2228145
The Strangest Secret,Earl Nightingale,4.44,6530,1956,11.2149132
7 Strategies for Wealth & Happiness: Power Ideas from America's Foremost Business Philosopher,Jim Rohn,4.47,3211,1996,11.2066403
Tao Te Ching,Lao Tzu,4.3,155248,,11.191026
How to Win Friends and Influence People,Dale Carnegie,4.22,956326,1936,11.180606
The Barefoot Investor: The Only Money Guide You'll Ever Need,Scott Pape,4.39,18852,2016,11.1753574
Meditations,Marcus Aurelius,4.28,235837,,11.1726119
"The Daily Stoic: 366 Meditations on Wisdom, Perseverance, and the Art of Living",Ryan Holiday,4.36,37063,2016,11.1689406
Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience,Brené Brown,4.33,71115,2021,11.1519612
The Last Lecture,Randy Pausch,4.26,342619,2008,11.1348114
Leadership Strategy and Tactics: Field Manual,Jocko Willink,4.43,6778,,11.1311016
Letters from a Stoic,Seneca,4.35,39675,,11.0985169
Humankind: A Hopeful History,Rutger Bregman,4.33,58041,2019,11.0637349
Love Does: Discover a Secretly Incredible Life in an Ordinary World,Bob Goff,4.31,87172,2012,11.040377
"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character",Richard P. Feynman,4.27,199281,1985,10.9994659
The Laws of Human Nature,Robert Greene,4.37,19065,2018,10.9802368
Nonviolent Communication: A Language of Life,Marshall B. Rosenberg,4.34,37324,1999,10.9719882
Battlefield of the Mind: Winning the Battle in Your Mind,Joyce Meyer,4.31,74061,1995,10.9695896
"Me and White Supremacy: Combat Racism, Change the World, and Become a Good Ancestor",Layla F. Saad,4.35,28828,2020,10.9598145
It's OK That You're Not OK: Meeting Grief and Loss in a Culture That Doesn't Understand,Megan Devine,4.39,9389,2017,10.8726193
Be Here Now,Ram Dass,4.33,37239,1971,10.870998
The Dichotomy of Leadership: Balancing the Challenges of Extreme Ownership to Lead and Win,Jocko Willink,4.38,11641,2018,10.8659903
Recovering from Emotionally Immature Parents: Practical Tools to Establish Boundaries & Reclaim Your Emotional Autonomy,Lindsay C. Gibson,4.43,3160,2019,10.7996871
Outliers: The Story of Success,Malcolm Gladwell,4.19,773764,2008,10.7886085
The Richest Man in Babylon,George S. Clason,4.25,192977,1926,10.7855056
The Gifts of Imperfection,Brené Brown,4.25,187960,2010,10.7740654
The Prophet,Kahlil Gibran,4.23,294613,1923,10.7692519
"UNSCRIPTED: Life, Liberty, and the Pursuit of Entrepreneurship",M.J. DeMarco,4.42,3621,2017,10.7588285
How to Think Like a Roman Emperor: The Stoic Philosophy of Marcus Aurelius,Donald J. Robertson,4.37,10711,2019,10.72983
Tuesdays with Morrie,Mitch Albom,4.17,1008084,1997,10.7034967
The Go-Giver: A Little Story About a Powerful Business Idea,Bob Burg,4.33,24688,2007,10.6924859
Steve Jobs,Walter Isaacson,4.16,1234737,2011,10.6915745
The Mastery of Self: A Toltec Guide to Personal Freedom,Miguel Ruiz Jr.,4.41,3897,2016,10.6907304
Come as You Are: The Surprising New Science that Will Transform Your Sex Life,Emily Nagoski,4.29,60110,2015,10.6789467
The Culture Map: Breaking Through the Invisible Boundaries of Global Business,Erin Meyer,4.33,20817,2014,10.6184181
Peace Is Every Step: The Path of Mindfulness in Everyday Life,Thich Nhat Hanh,4.3,41362,1992,10.6166015
The Intelligent Investor,Benjamin Graham,4.25,127792,1949,10.6065037
Greenlights,Matthew McConaughey,4.21,308619,2020,10.5894227
The Moment of Lift: How Empowering Women Changes the World,Melinda French Gates,4.28,59911,2019,10.5775066
The Light We Carry: Overcoming in Uncertain Times,Michelle Obama,4.27,74672,2022,10.5731578
"How to Change Your Mind: What the New Science of Psychedelics Teaches Us About Consciousness, Dying, Addiction, Depression, and Transcendence",Michael Pollan,4.27,74100,2018,10.5698182
When Things Fall Apart: Heart Advice for Difficult Times,Pema Chödrön,4.28,54913,1996,10.5396752
Twelve Pillars,Jim Rohn,4.41,2571,2005,10.5101021
It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,4.3,31730,2018,10.5014701
"Learning How to Learn: How to Succeed in School Without Spending All Your Time Studying, A Guide for Kids and Teens",Barbara Oakley,4.42,2001,2018,10.5012471
The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime!,M.J. DeMarco,4.32,19643,2010,10.4932078
Homo Deus: A History of Tomorrow,Yuval Noah Harari,4.21,245266,2015,10.4896373
"Thinking, Fast and Slow",Daniel Kahneman,4.18,487366,2011,10.4878552
Scattered Minds: The Origins and Healing of Attention Deficit Disorder,Gabor Maté,4.35,9633,1999,10.4837616
"The Comfort Crisis: Embrace Discomfort To Reclaim Your Wild, Happy, Healthy Self",Michael Easter,4.33,15238,2021,10.482928
The Four Agreements,Miguel Ruiz,4.19,382427,1997,10.4825485
"Hustle Harder, Hustle Smarter",50 Cent,4.37,5806,,10.463877
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.16,729442,1988,10.4629908
The Magic of Thinking Big,David J. Schwartz,4.25,91373,1959,10.4608179
"The Intellectual Life: Its Spirit, Conditions, Methods",Antonin Sertillanges,4.41,2113,1921,10.4248995
The Five Major Pieces to the Life Puzzle: A Guide to Personal Success,Jim Rohn,4.42,1665,1991,10.4214142
As a Man Thinketh,James Allen,4.25,82922,1902,10.4186698
"The Myth of Normal: Trauma, Illness, and Healing in a Toxic Culture",Gabor Maté,4.32,16446,2022,10.4160603
Rising Strong: The Reckoning. The Rumble. The Revolution.,Brené Brown,4.25,81303,2015,10.4101066
Bird by Bird,Anne Lamott,4.24,100245,1994,10.4010627
Extreme Ownership: How U.S. Navy SEALs Lead and Win,Jocko Willink,4.25,78615,2015,10.3955054
"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,4.18,384251,2015,10.384615
How to Keep House While Drowning: A Gentle Approach to Cleaning and Organizing,K.C.  Davis,4.27,42961,2022,10.3330744
The Whole-Brain Child: Revolutionary Strategies to Nurture Your Child's Developing Mind,Daniel J. Siegel,4.27,41922,2011,10.322442
The Mastery of Love: A Practical Guide to the Art of Relationship: A Toltec Wisdom Book,Miguel Ruiz,4.26,52243,1999,10.3180281
Think and Grow Rich,Napoleon Hill,4.18,323105,1937,10.3093437
Law of Success,Napoleon Hill,4.32,12227,1925,10.2873199
